Gene.stable.ID	Gene.name	logFC	AveExpr	P.Value	adj.P.Val	Gene.description	Chromosome.scaffold.name	Strand	GO.term.name	GO.term.accession	NCBI.gene..formerly.Entrezgene..ID
ENSMMUG00000004485	LHFPL6	0.780634406129399	5.33090051284254	0.0027543905950172	0.663321633774954	LHFPL tetraspan subfamily member 6 [Source:VGNC Symbol;Acc:VGNC:74259]	17	-1			696978
NA	LOC703641	0.683722084660356	5.18345119035949	0.00278140104043997	0.663321633774954	NA	NA	NA	NA	NA	NA
ENSMMUG00000015434	EVL	0.46891341429102	6.14953305580234	0.00283228000063101	0.663321633774954	Enah/Vasp-like [Source:VGNC Symbol;Acc:VGNC:72306]	7	1	SH3 domain binding	GO:0017124	706316
ENSMMUG00000006330	PAIP2B	0.91672574979849	3.88545527379307	0.00287496779955917	0.663321633774954	poly(A) binding protein interacting protein 2B [Source:VGNC Symbol;Acc:VGNC:106192]	13	1	mRNA regulatory element binding translation repressor activity	GO:0000900	711595
ENSMMUG00000059634	TMEM163	-1.04717386273584	4.55437547757319	0.00293291025804687	0.663321633774954	transmembrane protein 163 [Source:VGNC Symbol;Acc:VGNC:104557]	12	-1	synaptic vesicle membrane	GO:0030672	709015
ENSMMUG00000015847	TLR2	-0.805946205000937	4.98690095304134	0.00295313946074043	0.663321633774954	toll like receptor 2 [Source:VGNC Symbol;Acc:VGNC:100281]	5	1	toll-like receptor signaling pathway	GO:0002224	574290
NA	LOC696696	1.12998619766494	2.30307302941339	0.00304404129695369	0.663321633774954	NA	NA	NA	NA	NA	NA
ENSMMUG00000011310	NLGN4X	1.62225836928386	1.73641738180484	0.00309155069034729	0.663321633774954	neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]	X	-1	neurexin family protein binding	GO:0042043	106995148
ENSMMUG00000012114	USP3	-0.423047018050085	5.60044704456531	0.00319637600411375	0.663321633774954	ubiquitin specific peptidase 3 [Source:VGNC Symbol;Acc:VGNC:78746]	7	1	ubiquitin-dependent protein catabolic process	GO:0006511	705973
ENSMMUG00000039654	COL1A2	1.20530047847636	7.93920510527538	0.00321419551179194	0.663321633774954	collagen type I alpha 2 chain [Source:VGNC Symbol;Acc:VGNC:81292]	3	-1	extracellular matrix structural constituent	GO:0005201	700359
ENSMMUG00000023256	LEF1	0.813538653532555	3.55301275734684	0.00321430162190239	0.663321633774954	lymphoid enhancer binding factor 1 [Source:VGNC Symbol;Acc:VGNC:74251]	5	-1	Wnt signaling pathway	GO:0016055	695776
ENSMMUG00000040803	SRL	1.42200219930819	2.83196618938327	0.00323719571157519	0.663321633774954	sarcalumenin [Source:VGNC Symbol;Acc:VGNC:104757]	20	-1	GTP binding	GO:0005525	704655
ENSMMUG00000017314	NEGR1	1.18405771877386	3.84573940361295	0.00336002503270793	0.673105113599836	neuronal growth regulator 1 [Source:VGNC Symbol;Acc:VGNC:81481]	1	1	locomotory behavior	GO:0007626	703636
NA	CISD3	-0.510549693774683	5.28714601726866	0.00338759627097676	0.673105113599836	NA	NA	NA	NA	NA	NA
ENSMMUG00000056688	ZCCHC10	-0.33513787746812	7.26720205727896	0.00353144345773153	0.673915350288451	zinc finger CCHC-type containing 10 [Source:VGNC Symbol;Acc:VGNC:79559]	6	-1	nucleic acid binding	GO:0003676	709423
ENSMMUG00000011533	IGF2BP1	-1.08145102087423	2.30330912367932	0.00366830573532083	0.673915350288451	insulin like growth factor 2 mRNA binding protein 1 [Source:VGNC Symbol;Acc:VGNC:73452]	16	-1	RNA binding	GO:0003723	698462
ENSMMUG00000011713	LPXN	-1.01881601940528	4.25531303827519	0.00370829665027138	0.673915350288451	leupaxin [Source:VGNC Symbol;Acc:VGNC:74286]	14	1	nuclear speck	GO:0016607	702033
NA	LOC114672562	-1.35212889925265	1.78249974054619	0.00374542747482533	0.673915350288451	NA	NA	NA	NA	NA	NA
ENSMMUG00000013962	DENND1B	-0.630031561016192	5.47452269444798	0.00377181493775723	0.673915350288451	DENN domain containing 1B [Source:VGNC Symbol;Acc:VGNC:99884]	1	-1	guanyl-nucleotide exchange factor activity	GO:0005085	713131
ENSMMUG00000017014	ECT2	0.814833581622202	4.58237335802377	0.00378630843826648	0.673915350288451	epithelial cell transforming 2 [Source:VGNC Symbol;Acc:VGNC:72152]	2	1	regulation of cytokinesis, actomyosin contractile ring assembly	GO:2000431	694056
ENSMMUG00000005260	RPL35	1.34525541349235	3.63112098851293	0.00384053675878472	0.673915350288451	ribosomal protein L35 [Source:NCBI gene (formerly Entrezgene);Acc:693604]	15	1	cytosolic large ribosomal subunit	GO:0022625	693604
ENSMMUG00000007153	SYNJ2	-0.610839352140849	5.34592417662547	0.00386196904655581	0.673915350288451	synaptojanin 2 [Source:VGNC Symbol;Acc:VGNC:83473]	4	1	phosphatidylinositol dephosphorylation	GO:0046856	705639
ENSMMUG00000019416	RETSAT	1.07239737805748	2.8500370024963	0.0039982340792665	0.673915350288451	retinol saturase [Source:VGNC Symbol;Acc:VGNC:97818]	13	1			695058
ENSMMUG00000002045	PFKM	0.627745224102823	3.78607987608558	0.00407099069680699	0.673915350288451	phosphofructokinase, muscle [Source:VGNC Symbol;Acc:VGNC:75961]	11	1	fructose 6-phosphate metabolic process	GO:0006002	707806
ENSMMUG00000006191	TBL1X	-0.332106331063192	7.38479168722577	0.00408569565497548	0.673915350288451	transducin beta like 1 X-linked [Source:VGNC Symbol;Acc:VGNC:108172]	X	1	transcription corepressor activity	GO:0003714	106995151
ENSMMUG00000023260	STARD7	-0.490229816252485	6.51199044519811	0.00420532197161757	0.673915350288451	StAR related lipid transfer domain containing 7 [Source:VGNC Symbol;Acc:VGNC:77948]	13	-1	lipid binding	GO:0008289	704860
ENSMMUG00000011836	PTN	2.06216495919462	4.56784707305959	0.0042075701356575	0.673915350288451	pleiotrophin [Source:VGNC Symbol;Acc:VGNC:76594]	3	-1	growth factor activity	GO:0008083	709496
ENSMMUG00000010421	ALG13	-0.53320928786595	4.69030062156485	0.00424989766027532	0.673915350288451	ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:VGNC Symbol;Acc:VGNC:69739]	X	1	dolichol-linked oligosaccharide biosynthetic process	GO:0006488	706590
ENSMMUG00000053229	DEFB1	-1.32396941138236	5.00482730546149	0.00425046968163075	0.673915350288451	defensin beta 1 [Source:NCBI gene (formerly Entrezgene);Acc:574187]	8	-1	defense response	GO:0006952	574187
ENSMMUG00000016904	CD101	-1.34043465192822	2.97501461023211	0.00431344818568812	0.673915350288451	CD101 molecule [Source:VGNC Symbol;Acc:VGNC:70927]	1	-1	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	GO:0016812	711234
NA	LOC698099	0.715284522533245	6.03503315457092	0.00431448042898765	0.673915350288451	NA	NA	NA	NA	NA	NA
ENSMMUG00000051514	THBS2	-0.803175044703525	5.54544128784989	0.00434273878455844	0.673915350288451	thrombospondin 2 [Source:VGNC Symbol;Acc:VGNC:104433]	4	1	extracellular region	GO:0005576	708165
ENSMMUG00000009577	ATL1	1.0729191372898	2.25974083320061	0.00436806502779612	0.673915350288451	atlastin GTPase 1 [Source:VGNC Symbol;Acc:VGNC:70049]	7	1	GTPase activity	GO:0003924	706313
ENSMMUG00000039864	CCL15	-0.74736572850307	5.04698382441409	0.0045403324474522	0.683487448111781	C-C motif chemokine ligand 15 [Source:HGNC Symbol;Acc:HGNC:10613]	16	-1	chemokine activity	GO:0008009	100430368
ENSMMUG00000008265	GULP1	0.844715238483285	4.63915832123054	0.00461525132640682	0.683487448111781	GULP PTB domain containing engulfment adaptor 1 [Source:VGNC Symbol;Acc:VGNC:73193]	12	1			708601
ENSMMUG00000002263	ACTR2	-0.410838821408901	8.88977646800034	0.00466147272193609	0.683487448111781	actin related protein 2 [Source:VGNC Symbol;Acc:VGNC:103782]	13	-1			697080
ENSMMUG00000057522	PDF	-0.665439426516651	4.79921231887088	0.00468423331035342	0.683487448111781	peptide deformylase, mitochondrial [Source:VGNC Symbol;Acc:VGNC:104744]	20	-1	peptide deformylase activity	GO:0042586	100427223
ENSMMUG00000006779	MET	-0.564003977094309	7.65105836960578	0.00469858146484427	0.683487448111781	MET proto-onco, receptor tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:81472]	3	1	positive regulation of endothelial cell chemotaxis	GO:2001028	704562
ENSMMUG00000009667	ZNF385D	1.5454527052722	2.00677919852322	0.00475767005684157	0.683487448111781	zinc finger protein 385D [Source:VGNC Symbol;Acc:VGNC:79587]	2	1	nucleic acid binding	GO:0003676	698852
ENSMMUG00000029504	GDPGP1	-0.722025033352255	2.80684536609177	0.00481170539797628	0.683487448111781	GDP-D-glucose phosphorylase 1 [Source:VGNC Symbol;Acc:VGNC:99199]	7	1	GDP-D-glucose phosphorylase activity	GO:0080048	701954
ENSMMUG00000018278	EXOC5	-0.359313102404956	6.42980192078141	0.00485275139505097	0.683487448111781	exocyst complex component 5 [Source:VGNC Symbol;Acc:VGNC:72260]	7	-1	cytoplasm	GO:0005737	699001
NA	LOC697280	0.684759946231857	7.03069147587512	0.00489917798707544	0.683487448111781	NA	NA	NA	NA	NA	NA
ENSMMUG00000023227	CDKL2	0.588293396700484	4.36069761300647	0.00511153942794292	0.705607663768878	cyclin dependent kinase like 2 [Source:VGNC Symbol;Acc:VGNC:70987]	5	1	ATP binding	GO:0005524	701467
ENSMMUG00000021532	RPF2	-0.710434932720179	4.41769585296024	0.00521619586188876	0.710642345820738	ribosome production factor 2 homolog [Source:VGNC Symbol;Acc:VGNC:83459]	4	1	rRNA binding	GO:0019843	696378
ENSMMUG00000020799	BID	-0.598425846944928	4.70977669993266	0.00525639069274147	0.710642345820738	BH3 interacting domain death agonist [Source:VGNC Symbol;Acc:VGNC:70250]	10	1	positive regulation of apoptotic process	GO:0043065	100426724
ENSMMUG00000016237	TXLNG	0.553175703685787	5.38369207056979	0.0053862096695519	0.719776427493878	taxilin gamma [Source:HGNC Symbol;Acc:HGNC:18578]	X	1	syntaxin binding	GO:0019905	713769
ENSMMUG00000031175	COX20	-0.352036928505684	6.74110800173348	0.00544163579115135	0.719776427493878	cytochrome c oxidase assembly factor COX20 [Source:VGNC Symbol;Acc:VGNC:71595]	1	-1	mitochondrial inner membrane	GO:0005743	704298
ENSMMUG00000029233	RIN3	0.846894610056855	3.15351057566244	0.00548861085476497	0.719776427493878	Ras and Rab interactor 3 [Source:VGNC Symbol;Acc:VGNC:76771]	7	1	vesicle-mediated transport	GO:0016192	698125
NA	LOC114679367	0.900154839839545	3.88273743873221	0.00561193257573859	0.728516067871535	NA	NA	NA	NA	NA	NA
ENSMMUG00000022996	HS1BP3	0.645206382146333	3.70538870379722	0.00567618829124634	0.728516067871535	HCLS1 binding protein 3 [Source:VGNC Symbol;Acc:VGNC:82158]	13	1	phosphatidylinositol binding	GO:0035091	702364
ENSMMUG00000023178	GSPT1	-0.344393029177333	7.99216131792435	0.00578076747669343	0.728516067871535	G1 to S phase transition 1 [Source:VGNC Symbol;Acc:VGNC:73300]	20	-1	GTPase activity	GO:0003924	716860
NA	FAM192A	-0.420519461853566	5.25988475237089	0.00605933771510803	0.728516067871535	NA	NA	NA	NA	NA	NA
ENSMMUG00000022978	IL6R	-0.521712971735466	6.29169602434953	0.00612505329720658	0.728516067871535	interleukin 6 receptor [Source:VGNC Symbol;Acc:VGNC:73733]	1	-1	cytokine receptor activity	GO:0004896	716690
ENSMMUG00000016995	LUM	1.69754510012478	4.88972755724411	0.00615105604387753	0.728516067871535	lumican [Source:VGNC Symbol;Acc:VGNC:100076]	11	-1	protein binding	GO:0005515	709830
NA	SWI5	-1.49214511854911	2.38393616630748	0.00624354215739816	0.728516067871535	NA	NA	NA	NA	NA	NA
ENSMMUG00000020994	SUSD2	1.38668392002357	3.22996928892829	0.00626070748531828	0.728516067871535	sushi domain containing 2 [Source:VGNC Symbol;Acc:VGNC:78251]	10	1	extracellular space	GO:0005615	720248
ENSMMUG00000010805	TPM3	-0.31809843552243	8.99031801001689	0.00641575941981938	0.728516067871535	tropomyosin 3 [Source:VGNC Symbol;Acc:VGNC:78635]	1	1	actin cytoskeleton	GO:0015629	716336
NA	LOC708686	-0.53996288603956	5.49684180010985	0.00642115781223082	0.728516067871535	NA	NA	NA	NA	NA	NA
NA	DCAF13	-0.514301374205812	5.00096672872789	0.00659120970037811	0.728516067871535	NA	NA	NA	NA	NA	NA
ENSMMUG00000003364	BCL2A1	-1.03191178116641	4.69863125574536	0.00660159205820257	0.728516067871535	BCL2 related protein A1 [Source:VGNC Symbol;Acc:VGNC:70242]	7	-1	regulation of apoptotic process	GO:0042981	712571
NA	SH3BGRL3	-0.538505701607732	6.66527509584681	0.0066887836273081	0.728516067871535	NA	NA	NA	NA	NA	NA
ENSMMUG00000021083	JOSD1	-0.394903879141918	5.87628979969816	0.00672999147061063	0.728516067871535	Josephin domain containing 1 [Source:VGNC Symbol;Acc:VGNC:73920]	10	1	protein deubiquitination	GO:0016579	701426
ENSMMUG00000063888	RAB11FIP1	-0.403777772446465	8.51234460286631	0.00675866115888288	0.728516067871535	RAB11 family interacting protein 1 [Source:VGNC Symbol;Acc:VGNC:104491]	8	-1	small GTPase binding	GO:0031267	698884
ENSMMUG00000003875	TAPBP	-1.19128606300659	3.06730555312028	0.00681293864838727	0.728516067871535	TAP binding protein [Source:VGNC Symbol;Acc:VGNC:78098]	4	1	antigen processing and presentation of endogenous peptide antigen via MHC class I	GO:0019885	718235
ENSMMUG00000002471	APOC4	-1.41677518845432	5.42567825159872	0.00694928294382759	0.728516067871535	apolipoprotein C4 [Source:VGNC Symbol;Acc:VGNC:109594]	19	1	extracellular region	GO:0005576	718319
ENSMMUG00000016999	KIAA0232	-0.544996204236886	7.24843000626517	0.00698557910881301	0.728516067871535	KIAA0232 [Source:VGNC Symbol;Acc:VGNC:73922]	5	-1			710141
ENSMMUG00000015885	MEGF9	-0.640990252956875	5.8617700085809	0.00707481011641806	0.728516067871535	multiple EGF like domains 9 [Source:VGNC Symbol;Acc:VGNC:74631]	15	1	membrane	GO:0016020	704605
ENSMMUG00000009312	LTA4H	-0.464735055218177	7.76573040090608	0.0070979985205663	0.728516067871535	leukotriene A4 hydrolase [Source:VGNC Symbol;Acc:VGNC:74453]	11	-1	metallopeptidase activity	GO:0008237	713038
ENSMMUG00000007255	MAP1A	0.927236291389212	4.59203762743732	0.00717586110416731	0.728516067871535	microtubule associated protein 1A [Source:VGNC Symbol;Acc:VGNC:74489]	7	1	microtubule	GO:0005874	710514
ENSMMUG00000045219	CEBPB	-0.367253983545112	7.43895266861178	0.00719937219158078	0.728516067871535	CCAAT enhancer binding protein beta [Source:VGNC Symbol;Acc:VGNC:84575]	10	1	RNA polymerase II transcription regulator complex	GO:0090575	713191
ENSMMUG00000018503	NWD1	2.20877363023647	1.53443674402821	0.00738399740975227	0.728516067871535	NACHT and WD repeat domain containing 1 [Source:VGNC Symbol;Acc:VGNC:84898]	19	1	protein binding	GO:0005515	719640
ENSMMUG00000007393	AGA	0.555401756769869	5.61383532615761	0.00754114090319431	0.728516067871535	aspartylglucosaminidase [Source:VGNC Symbol;Acc:VGNC:69742]	5	-1	hydrolase activity	GO:0016787	699740
ENSMMUG00000022317	COL6A2	0.599964031621025	5.38564780212166	0.00757240585141794	0.728516067871535	collagen type VI alpha 2 chain [Source:VGNC Symbol;Acc:VGNC:71302]	3	-1	cellular anatomical entity	GO:0110165	709493
ENSMMUG00000061977	SPIRE1	-0.412551926279806	6.46626381992728	0.00761310650782449	0.728516067871535	spire type actin nucleation factor 1 [Source:VGNC Symbol;Acc:VGNC:104250]	18	-1	vesicle-mediated transport	GO:0016192	114673761
ENSMMUG00000006951	ZNHIT1	-0.641080748210315	5.15255455457176	0.00762708259507571	0.728516067871535	zinc finger HIT-type containing 1 [Source:VGNC Symbol;Acc:VGNC:79332]	3	1	chromatin remodeling	GO:0006338	714339
ENSMMUG00000065018	TMEM35A	0.845163946205587	3.94320673261991	0.00768016705100834	0.728516067871535	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	X	1	membrane	GO:0016020	702205
ENSMMUG00000000535	AMD1	-0.388227302026494	7.52052949530143	0.00774601319163942	0.728516067871535	adenosylmethionine decarboxylase 1 [Source:VGNC Symbol;Acc:VGNC:81021]	4	1	spermidine biosynthetic process	GO:0008295	698042
ENSMMUG00000064554	LRRN4	-2.1953035845915	1.38195266976221	0.00776217392602436	0.728516067871535	leucine rich repeat neuronal 4 [Source:VGNC Symbol;Acc:VGNC:107797]	10	1	protein binding	GO:0005515	718283
ENSMMUG00000021964	DIAPH1	-0.482934287311275	7.9505890609366	0.00777353850275627	0.728516067871535	diaphanous related formin 1 [Source:VGNC Symbol;Acc:VGNC:71797]	6	-1	cellular component organization	GO:0016043	700918
